Date,Close,Open,High,Low,Volume,Change_Pct,RSI_14,MACD,MACD_Signal,MACD_Hist,OBV,ADX,DI_Plus,DI_Minus,STOCH_K,STOCH_D,SMA_20,SMA_50
2014-01-02,504.51,505.61,506.71,503.04,57720.0,-0.02,,,,,,,,,,,,
2014-01-03,505.37,504.41,506.28,503.94,55600.0,0.17,100.0,,,,55600.0,,,,,,,
2014-01-06,509.1,505.74,509.1,504.28,68740.0,0.74,100.0,,,,124340.0,,,,,,,
2014-01-07,510.12,510.84,513.0,509.87,74360.0,0.2,100.0,,,,198700.0,,,,,,,
2014-01-08,513.9,511.03,514.2,509.01,70300.0,0.74,100.0,,,,269000.0,,,,,,,
2014-01-09,516.98,513.66,516.98,513.52,91490.0,0.6,99.99999999999999,,,,360490.0,,,,,,,
2014-01-10,518.94,518.33,523.06,518.24,107180.0,0.38,100.0,,,,467670.0,,,,,,,
2014-01-13,521.11,519.31,522.32,518.78,71990.0,0.42,100.0,,,,539660.0,,,,,,,
2014-01-14,522.31,521.13,524.59,520.63,94870.0,0.23,100.0,,,,634530.0,,,,,,,
2014-01-15,526.68,523.72,527.09,522.45,127580.0,0.84,100.0,,,,762110.0,,,,,,,
2014-01-16,533.54,528.83,533.54,527.9,97750.0,1.3,100.0,,,,859860.0,,,,,,,
2014-01-17,543.59,536.81,549.88,536.81,118070.0,1.88,100.0,,,,977930.0,,,,,,,
2014-01-20,553.67,548.22,559.93,548.22,105720.0,1.85,100.0,,,,1083650.0,,,,,,,
2014-01-21,559.91,555.72,560.18,547.65,100920.0,1.13,100.0,,,,1184570.0,97.25034239523774,42.12226991442981,0.5871818441155533,,,,
2014-01-22,551.92,561.34,564.61,551.92,125280.0,-1.43,84.55880535523598,,,,1059290.0,97.27061038235904,41.23214441395222,0.5147191620011277,,,,
2014-01-23,553.55,550.88,556.5,550.52,73720.0,0.3,85.0654444607629,,,,1133010.0,96.81069930709668,38.80206287257899,1.864169508536688,86.75951288418088,,,
2014-01-24,560.19,555.66,560.19,553.46,88010.0,1.2,86.94463942567829,,,,1221020.0,96.44116736040267,39.87056003068145,1.7398884635137613,84.2671406636514,,,
2014-01-27,556.52,560.45,560.49,556.35,67550.0,-0.66,80.88651316489025,,,,1153470.0,96.10258988639062,38.490622274001986,1.666294658357319,86.38916514724568,85.8052728983593,,
2014-02-06,554.68,555.51,557.29,551.45,89240.0,-0.33,77.95380225396119,,,,1064230.0,94.16741445984628,36.1666782554574,6.631558060592012,86.02123703268738,85.55918094786148,,
2014-02-07,549.76,557.71,558.51,549.37,124970.0,-0.89,70.58437590498136,,,,939260.0,91.75076987165272,32.82619494643159,8.120971659981562,77.99611173719374,83.4688379723756,533.3175000000001,
2014-02-10,555.9,550.41,555.9,548.56,110190.0,1.12,73.90040342354672,,,,1049450.0,89.26539193403275,30.398017133563147,8.336555723182988,76.51122545900267,80.17619140962793,535.887,
2014-02-11,553.9,559.74,561.83,553.9,175050.0,-0.36,71.08921419250728,,,,874400.0,87.39560677009496,33.914968434319604,7.675933811837968,74.8726623690165,76.45999985507096,538.3135,
2014-02-12,564.25,555.55,564.25,554.26,126100.0,1.87,76.14623984780077,,,,1000500.0,85.81474253741594,32.859318292186735,6.906651566202877,85.26303777940869,78.88230853580929,541.071,
2014-02-13,570.18,567.58,570.68,565.27,147120.0,1.05,78.46993730228328,,,,1147620.0,84.70479830826478,37.078323670856065,6.472649417800296,91.20845381051554,83.78138465298024,544.0740000000001,
